Diet,Category,Emissions_share_pct,Protein_share_pct
Monitor 2024,Red Meat,34.13828566816029,18.43959464261645
Monitor 2024,Poultry,3.4054721160929273,7.94049530064823
Monitor 2024,Dairy (Milk & Milkproducts),10.703934608806557,0.0
Monitor 2024,Cheese & Eggs,5.219406350269546,0.0
Monitor 2024,Fish,2.358329494411562,5.39169433994633
Monitor 2024,Plant Protein,2.5859625761964584,5.636771355398435
Monitor 2024,Staples,13.348011663225234,44.04646660212973
Monitor 2024,Rice,4.096611076054393,5.979879177031383
Monitor 2024,Veg & Fruit,8.805990256363987,4.484909382773537
Monitor 2024,Ultra-Processed,9.383963927870468,4.852524905951696
Monitor 2024,Soups,1.1188333732072535,0.0
Monitor 2024,Beverages & Additions,0.6194307372737475,1.2253850772605295
Monitor 2024,Fats (Butter),1.2534317438113478,0.0
Monitor 2024,Oils (Plant-based),2.411278821567357,0.6126925386302647
Monitor 2024,Condiments,0.5510575866888598,1.3895866776134402
Amsterdam Theoretical,Red Meat,34.25289390946054,19.64313553196616
Amsterdam Theoretical,Poultry,2.196504476155205,5.714366700208337
Amsterdam Theoretical,Dairy (Milk & Milkproducts),13.113039241516708,0.0
Amsterdam Theoretical,Cheese & Eggs,5.634202142649391,0.0
Amsterdam Theoretical,Fish,1.1111969690386965,2.834507291770008
Amsterdam Theoretical,Plant Protein,1.803653889573578,4.302782068906873
Amsterdam Theoretical,Staples,13.67182387807692,49.82355192108732
Amsterdam Theoretical,Rice,1.327039967276605,2.1613118099746313
Amsterdam Theoretical,Veg & Fruit,8.413940970454723,4.7619722501736135
Amsterdam Theoretical,Ultra-Processed,10.958708502850532,6.3138649924176935
Amsterdam Theoretical,Soups,1.4497218070297613,0.0
Amsterdam Theoretical,Beverages & Additions,0.7500782866716434,1.6298416927677548
Amsterdam Theoretical,Fats (Butter),1.6241268594068345,0.0
Amsterdam Theoretical,Oils (Plant-based),2.9994244283374365,0.8503521875310024
Amsterdam Theoretical,Condiments,0.6936446715014429,1.9643135531966158
Metropolitan,Red Meat,43.64418504922979,28.881373512982034
Metropolitan,Poultry,3.176075696350774,9.335393458741667
Metropolitan,Dairy (Milk & Milkproducts),6.806526527029089,0.0
Metropolitan,Cheese & Eggs,4.6861768579408,0.0
Metropolitan,Fish,1.1247288625516783,3.241456062063079
Metropolitan,Plant Protein,0.5389749529662902,1.4910697885490163
Metropolitan,Staples,8.927649766702661,35.850504046417655
Metropolitan,Rice,0.7163735177076568,1.3181921319056522
Metropolitan,Veg & Fruit,4.239836347673626,2.7228230921329866
Metropolitan,Ultra-Processed,19.6761760715914,12.836166005769794
Metropolitan,Soups,0.5869504703374204,0.0
Metropolitan,Beverages & Additions,0.6656603035244307,1.6207280310315395
Metropolitan,Fats (Butter),1.9110194457031155,0.0
Metropolitan,Oils (Plant-based),2.6986228521260704,0.8643882832168212
Metropolitan,Condiments,0.6010432785651899,1.837905587189766
Metabolic Balance,Red Meat,51.8950104761703,39.13971692891595
Metabolic Balance,Poultry,6.248183290714179,18.217759152368153
Metabolic Balance,Dairy (Milk & Milkproducts),2.5106705597522034,0.0
Metabolic Balance,Cheese & Eggs,8.476260424386373,0.0
Metabolic Balance,Fish,4.4252799728002605,12.651221633588994
Metabolic Balance,Plant Protein,1.6590334095278876,4.364671463588203
Metabolic Balance,Staples,3.2403604521306293,13.742389499486046
Metabolic Balance,Rice,0.5284862678643759,0.9646556495611608
Metabolic Balance,Veg & Fruit,9.401189320658029,5.693049735115048
Metabolic Balance,Ultra-Processed,1.6429014936824113,1.0437257847710921
Metabolic Balance,Soups,1.732030879547115,0.0
Metabolic Balance,Beverages & Additions,0.5928279383379652,1.5814027041986243
Metabolic Balance,Fats (Butter),3.723598489758315,0.0
Metabolic Balance,Oils (Plant-based),3.483970160008565,1.1069818929390371
Metabolic Balance,Condiments,0.44019686466139957,1.4944255554677
Dutch Goal,Red Meat,20.63074100900104,8.988083979572538
Dutch Goal,Poultry,1.7065179552497347,3.268394174390013
Dutch Goal,Dairy (Milk & Milkproducts),10.971520368300364,0.0
Dutch Goal,Cheese & Eggs,4.196502074735473,0.0
Dutch Goal,Fish,1.6115233029551572,3.0262909022129763
Dutch Goal,Plant Protein,8.282343263833203,15.661055418952149
Dutch Goal,Staples,19.93523851635131,53.29424374251309
Dutch Goal,Rice,2.56606871185544,3.076729083916525
