Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
Metropolitan (High Risk),Amsterdam Goal (70:30),Cheese & Eggs,229192.8452157532
Metropolitan (High Risk),Amsterdam Goal (70:30),Fish,55008.55301004808
Metropolitan (High Risk),Amsterdam Goal (70:30),Plant Protein,26360.337374175004
Metropolitan (High Risk),Amsterdam Goal (70:30),Staples,436635.98561225866
Metropolitan (High Risk),Amsterdam Goal (70:30),Rice,35036.59587290588
Metropolitan (High Risk),Amsterdam Goal (70:30),Veg & Fruit,207363.09901019998
Metropolitan (High Risk),Amsterdam Goal (70:30),Ultra-Processed,962327.9089803244
Metropolitan (High Risk),Amsterdam Goal (70:30),Soups,28706.737362974996
Metropolitan (High Risk),Amsterdam Goal (70:30),Beverages & Additions,32556.2998446
Metropolitan (High Risk),Amsterdam Goal (70:30),Fats (Butter),93464.67222660291
Metropolitan (High Risk),Amsterdam Goal (70:30),Oils (Plant-based),131984.99936999998
Metropolitan (High Risk),Amsterdam Goal (70:30),Condiments,29395.992359685
Monitor 2024 (Current),EAT-Lancet (Planetary),Red Meat,1229780.86775539
Monitor 2024 (Current),EAT-Lancet (Planetary),Poultry,122677.05809116087
Monitor 2024 (Current),EAT-Lancet (Planetary),Dairy (Milk & Milkproducts),382358.58562634164
Monitor 2024 (Current),EAT-Lancet (Planetary),Cheese & Eggs,186912.51589416055
Monitor 2024 (Current),EAT-Lancet (Planetary),Fish,84242.62319224208
Monitor 2024 (Current),EAT-Lancet (Planetary),Plant Protein,90527.00544526456
Monitor 2024 (Current),EAT-Lancet (Planetary),Staples,470427.3422721846
Monitor 2024 (Current),EAT-Lancet (Planetary),Rice,144479.34014143806
Monitor 2024 (Current),EAT-Lancet (Planetary),Veg & Fruit,308399.87225544924
Monitor 2024 (Current),EAT-Lancet (Planetary),Ultra-Processed,332683.29023353336
Monitor 2024 (Current),EAT-Lancet (Planetary),Soups,39797.14117861731
Monitor 2024 (Current),EAT-Lancet (Planetary),Beverages & Additions,21894.99518822928
Monitor 2024 (Current),EAT-Lancet (Planetary),Fats (Butter),44424.45800912936
Monitor 2024 (Current),EAT-Lancet (Planetary),Oils (Plant-based),85041.01721382214
Monitor 2024 (Current),EAT-Lancet (Planetary),Condiments,19425.768615078945
Amsterdam Theoretical,EAT-Lancet (Planetary),Red Meat,1130433.927176834
Amsterdam Theoretical,EAT-Lancet (Planetary),Poultry,72490.31826638816
Amsterdam Theoretical,EAT-Lancet (Planetary),Dairy (Milk & Milkproducts),432764.1479343
Amsterdam Theoretical,EAT-Lancet (Planetary),Cheese & Eggs,185943.21611068788
Amsterdam Theoretical,EAT-Lancet (Planetary),Fish,36672.36867336539
Amsterdam Theoretical,EAT-Lancet (Planetary),Plant Protein,59525.23471586999
Amsterdam Theoretical,EAT-Lancet (Planetary),Staples,451205.4835137845
Amsterdam Theoretical,EAT-Lancet (Planetary),Rice,43795.74484113234
Amsterdam Theoretical,EAT-Lancet (Planetary),Veg & Fruit,277681.77367455006
Amsterdam Theoretical,EAT-Lancet (Planetary),Ultra-Processed,361665.67188187095
Amsterdam Theoretical,EAT-Lancet (Planetary),Soups,47844.56227162499
Amsterdam Theoretical,EAT-Lancet (Planetary),Beverages & Additions,24754.519881840002
Amsterdam Theoretical,EAT-Lancet (Planetary),Fats (Butter),53600.37924870217
